"","X","totalTime","fittingTime","predictionTime","accuracyTime","testingAUC","spatialResolution","taxon","numPredictors","trainingExamples","cells","cores","GBMemory","ID_unit","Prob","Stratum"
"275",4934,105.824,94.0940000000001,9.53199999999993,2.1640000000001,0.792676146843649,1,"Picea",5,1000,8750,4,9,4934,0.1,275
"276",4906,30.231,2.57099999999997,25.758,1.86700000000002,0.716404401592723,0.1,"Picea",5,50,875000,4,9,4906,0.1,276
"277",4930,83.009,63.659,17.6080000000001,1.70899999999995,0.761478513312504,0.25,"Picea",5,1000,140000,4,9,4930,0.1,277
"278",4927,75.8390000000001,22.551,51.068,2.19000000000005,0.755656144038624,0.1,"Picea",5,500,875000,4,9,4927,0.1,278
"279",4979,32.8210000000001,22.796,8.00199999999995,1.98900000000003,0.759308654124207,0.5,"Picea",5,500,35000,4,9,4979,0.1,279
"280",4939,12.341,2.19399999999996,7.99300000000005,2.125,0.698681349217466,0.25,"Picea",5,50,140000,4,9,4939,0.1,280
"281",5007,178.815,84.048,92.6790000000001,2.05300000000011,0.773143482573158,0.1,"Picea",5,1000,875000,4,9,5007,0.1,281
"282",5106,11.845,3.43200000000002,6.30799999999999,2.077,0.70484979805681,0.5,"Picea",5,50,35000,4,12,5106,0.1,282
"283",5108,54.5029999999999,41.991,10.2620000000002,2.21299999999997,0.762068138424331,1,"Picea",5,500,8750,4,12,5108,0.1,283
"284",5082,52.617,33.644,16.875,2.06399999999985,0.753291180023953,0.25,"Picea",5,500,140000,4,12,5082,0.1,284
"285",5027,55.384,41.259,11.578,2.49400000000003,0.772575425151521,0.5,"Picea",5,500,35000,4,12,5027,0.1,285
"286",5014,93.656,29.396,62.103,2.12100000000004,0.767219554222456,0.1,"Picea",5,500,875000,4,12,5014,0.1,286
"287",5121,151.041,136.52,11.876,2.60500000000002,0.778205637266826,1,"Picea",5,1000,8750,4,12,5121,0.1,287
"288",5079,8.81399999999985,1.68000000000006,4.91499999999996,2.18599999999992,0.705472068284425,1,"Picea",5,50,8750,4,12,5079,0.1,288
"289",5063,9.49900000000002,1.46399999999994,5.94100000000003,2.06299999999999,0.685569000889687,0.25,"Picea",5,50,140000,4,12,5063,0.142857142857143,289
"290",5111,135.616,107.731,25.7160000000001,2.12899999999991,0.77713371660772,0.25,"Picea",5,1000,140000,4,12,5111,0.1,290
"291",5026,25.258,1.93699999999995,20.834,2.43600000000004,0.668639624574047,0.1,"Picea",5,50,875000,4,12,5026,0.1,291
"292",5115,153.301,74.2560000000001,77.03,1.97800000000007,0.770657549046859,0.1,"Picea",5,1000,875000,4,12,5115,0.1,292
"293",5123,88.3,74.0799999999999,12.355,1.82799999999997,0.785207038900701,0.5,"Picea",5,1000,35000,4,12,5123,0.1,293
"294",5126,7.91300000000001,1.63399999999999,4.53300000000002,1.53,0.699721152135078,0.5,"Picea",5,50,35000,4,15,5126,0.1,294
"295",5239,95.3700000000001,83.904,9.66800000000012,1.76800000000003,0.772310880116029,1,"Picea",5,1000,8750,4,15,5239,0.1,295
"296",5175,64.1799999999999,41.354,20.62,2.17199999999991,0.767326631614435,0.25,"Picea",5,500,140000,4,15,5175,0.1,296
"297",5177,78.837,23.664,53.2130000000001,1.92999999999995,0.748725177847598,0.1,"Picea",5,500,875000,4,15,5177,0.1,297
"298",5241,33.925,23.6329999999998,8.05100000000016,2.20799999999986,0.737531789646148,0.5,"Picea",5,500,35000,4,15,5241,0.1,298
"299",5164,8.63999999999999,1.178,5.31600000000003,2.11099999999999,0.684328231265895,0.25,"Picea",5,50,140000,4,15,5164,0.1,299
"300",5229,29.702,2.65900000000011,25.001,2.01299999999992,0.714262340778805,0.1,"Picea",5,50,875000,4,15,5229,0.111111111111111,300
"301",5136,159.765,74.589,82.599,2.36100000000005,0.765934544927099,0.1,"Picea",5,1000,875000,4,15,5136,0.1,301
"302",5139,49.308,38.824,8.53899999999999,1.904,0.757292024102815,1,"Picea",5,500,8750,4,15,5139,0.1,302
"303",5212,115.997,91.4750000000001,22.2579999999998,2.22400000000016,0.772865911083688,0.25,"Picea",5,1000,140000,4,15,5212,0.1,303
"304",5146,10.907,3.30699999999996,5.85700000000003,1.71499999999997,0.684097543898694,1,"Picea",5,50,8750,4,15,5146,0.111111111111111,304
"305",5158,101.596,87.9830000000001,12.073,1.50800000000004,0.771751750339213,0.5,"Picea",5,1000,35000,4,15,5158,0.1,305
"306",5310,12.1790000000001,2.12299999999982,7.98099999999999,2.04500000000007,0.725815743074604,0.25,"Picea",5,50,140000,4,18,5310,0.125,306
"307",5248,47.361,4.74299999999999,40.254,2.167,0.669358735044234,0.1,"Picea",5,50,875000,4,18,5248,0.1,307
"308",5313,128.243,111.572,14.575,2.05199999999991,0.775002731376226,0.5,"Picea",5,1000,35000,4,18,5313,0.1,308
"309",5314,11.6500000000001,4.0150000000001,5.44699999999989,2.16000000000008,0.612232329062438,1,"Picea",5,50,8750,4,18,5314,0.111111111111111,309
"310",5344,83.6529999999998,72.875,8.72600000000011,2.0179999999998,0.773716538707718,1,"Picea",5,1000,8750,4,18,5344,0.1,310
"311",5293,100.394,77.1189999999999,21.2090000000001,2.03199999999993,0.784579216210701,0.25,"Picea",5,1000,140000,4,18,5293,0.1,311
"312",5320,185.021,87.818,95.0439999999999,2.12200000000007,0.770606400019175,0.1,"Picea",5,1000,875000,4,18,5320,0.1,312
"313",5288,112.203,35.764,74.371,2.03600000000006,0.755980665175698,0.1,"Picea",5,500,875000,4,18,5288,0.1,313
"314",5295,46.2439999999999,28.141,16.01,2.04899999999998,0.770840535068873,0.25,"Picea",5,500,140000,4,18,5295,0.1,314
"315",5283,39.1179999999999,28.109,9.13199999999995,1.83600000000001,0.75802360713326,0.5,"Picea",5,500,35000,4,18,5283,0.1,315
"316",5312,45.5139999999999,35.2840000000001,8.09799999999996,2.10099999999989,0.769269998054336,1,"Picea",5,500,8750,4,18,5312,0.1,316
"317",5349,20.337,8.59999999999991,9.65100000000007,2.05600000000004,0.652858838563677,0.5,"Picea",5,50,35000,4,18,5349,0.125,317
"318",5416,20.2459999999999,1.51099999999997,16.6300000000001,2.07399999999984,0.688484252870863,0.1,"Picea",5,50,875000,4,21,5416,0.111111111111111,318
"319",5365,78.582,53.673,22.74,1.94400000000002,0.765637704706157,0.25,"Picea",5,500,140000,4,21,5365,0.1,319
"320",5367,72.113,20.858,49.165,2.05700000000002,0.763511448863789,0.1,"Picea",5,500,875000,4,21,5367,0.1,320
